time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2022-05-01 00:00:00,11.1,0.5,48,0,,180,5.4,,1019.1,,2
2022-05-01 01:00:00,10.6,2.2,56,0,,180,7.6,,1019.4,,2
2022-05-01 02:00:00,8.9,2.2,63,0,,190,7.6,,1019.3,,2
2022-05-01 03:00:00,8.9,2.2,63,0,,220,5.4,,1019.4,,1
2022-05-01 04:00:00,8.9,2.9,66,0,,10,5.4,,1019.4,,1
2022-05-01 05:00:00,7.2,1.7,68,0,,20,11.2,,1019.6,,1
2022-05-01 06:00:00,6.7,0.6,65,0,,20,13,,1019.7,,2
2022-05-01 07:00:00,8.9,1.1,58,0,,30,14.8,,1020.3,,2
2022-05-01 08:00:00,11.7,0.2,45,0,,10,14.8,,1020.5,,2
2022-05-01 09:00:00,14.4,-0.5,36,0,,40,11.2,,1020.7,,2
2022-05-01 10:00:00,15.6,0.2,35,0,,30,7.6,,1020.5,,2
2022-05-01 11:00:00,17.8,-2.5,25,0,,120,9.4,,1020.8,,3
2022-05-01 12:00:00,18.3,-4.4,21,0,,105,9.4,,1020.6,,3
2022-05-01 13:00:00,20,0.4,27,0,,120,7.6,,1019.9,,3
2022-05-01 14:00:00,19.4,-1.1,25,0,,120,20.5,,1019.3,,3
2022-05-01 15:00:00,20,-2.4,22,0,,130,14.8,,1018.7,,3
2022-05-01 16:00:00,19.4,-2.3,23,0,,140,16.6,,1018.2,,3
2022-05-01 17:00:00,17.8,-1.5,27,0,,130,16.6,,1018.3,,3
2022-05-01 18:00:00,17.8,1.3,33,0,,130,16.6,,1018.3,,3
2022-05-01 19:00:00,16.1,1.8,38,0,,120,11.2,,1017.7,,4
2022-05-01 20:00:00,14.4,5.7,56,0,,110,14.8,,1017.3,,4
2022-05-01 21:00:00,13.9,7.2,64,0,,150,14.8,,1017.8,,4
2022-05-01 22:00:00,13.9,7.9,67,,,150,7.6,,1018.4,,4
2022-05-01 23:00:00,13.9,8.3,69,,,150,7.6,,1018.6,,4
2022-05-02 00:00:00,14.4,7.9,65,,,120,7.6,,1018.4,,4
2022-05-02 01:00:00,14.4,7.9,65,0,,100,9.4,,1018.3,,4
2022-05-02 02:00:00,13.9,7.2,64,0,,120,9.4,,1017.8,,4
2022-05-02 03:00:00,13.9,6.7,62,0,,90,9.4,,1017.3,,4
2022-05-02 04:00:00,13.3,6.2,62,0.3,,160,7.6,,1017.2,,4
2022-05-02 05:00:00,12.8,7.9,72,0.3,,110,7.6,,1016.5,,4
2022-05-02 06:00:00,12.8,7.9,72,2.8,,110,24.1,,1015.8,,4
2022-05-02 07:00:00,12.2,9.4,83,1.8,,60,20.5,,1016.5,,7
2022-05-02 08:00:00,12.2,9.9,86,,,30,5.4,,1017.7,,7
2022-05-02 09:00:00,13.3,11.2,87,0,,60,13,,1018,,7
2022-05-02 10:00:00,13.9,11.1,83,0,,60,9.4,,1017.4,,7
2022-05-02 11:00:00,13.9,11.1,83,0,,80,14.8,,1016.9,,7
2022-05-02 12:00:00,13.3,11.7,90,0.3,,70,9.4,,1017.3,,7
2022-05-02 13:00:00,13.9,12.3,90,0.3,,80,9.4,,1016.7,,4
2022-05-02 14:00:00,14.4,12.3,87,,,90,13,,1016.4,,4
2022-05-02 15:00:00,14.4,11.7,84,0,,40,13,,1015.9,,4
2022-05-02 16:00:00,13.9,11.8,87,0,,340,11.2,,1016.6,,4
2022-05-02 17:00:00,14.4,12.3,87,,,30,11.2,,1016.4,,4
2022-05-02 18:00:00,14.4,11.7,84,0,,10,13,,1016.7,,4
2022-05-02 19:00:00,14.4,11.7,84,0,,30,11.2,,1016.9,,4
2022-05-02 20:00:00,13.9,11.8,87,0,,40,14.8,,1017.5,,3
2022-05-02 21:00:00,13.3,11.2,87,0,,30,13,,1018,,3
2022-05-02 22:00:00,13.3,11.2,87,0,,20,16.6,,1018.5,,3
2022-05-02 23:00:00,13.3,10.7,84,0,,20,14.8,,1018.6,,3
2022-05-03 00:00:00,13.3,10.7,84,0,,30,13,,1019,,3
2022-05-03 01:00:00,13.3,10.7,84,0,,20,13,,1019.5,,3
2022-05-03 02:00:00,12.8,10,83,0,,40,13,,1019.4,,2
2022-05-03 03:00:00,12.2,9.4,83,0,,20,16.6,,1019.2,,3
2022-05-03 04:00:00,12.2,9.4,83,0,,20,11.2,,1019.7,,3
2022-05-03 05:00:00,11.7,8.4,80,0,,360,11.2,,1020,,3
2022-05-03 06:00:00,10.6,8.4,86,0,,20,14.8,,1020.1,,4
2022-05-03 07:00:00,11.7,8.9,83,0,,20,18.4,,1020.4,,3
2022-05-03 08:00:00,13.3,9.4,77,0,,20,16.6,,1021,,3
2022-05-03 09:00:00,15,8.9,67,0,,20,20.5,,1021.3,,3
2022-05-03 10:00:00,16.1,8.8,62,0,,40,14.8,,1021.5,,3
2022-05-03 11:00:00,17.2,8.9,58,0,,30,16.6,,1021.4,,3
2022-05-03 12:00:00,17.2,8.9,58,0,,40,9.4,,1021.4,,3
2022-05-03 13:00:00,17.8,8.9,56,0,,80,18.4,,1020.9,,3
2022-05-03 14:00:00,17.8,8.4,54,0,,100,13,,1021.3,,3
2022-05-03 15:00:00,16.7,8.4,58,0,,150,16.6,,1021.3,,4
